# Fordham table of invH (=1/H) in terms of S (wide, as in LaTeX)
# columns: S	0	1	2	3	4	5	6	7	8	9
S	0	1	2	3	4	5	6	7	8	9
0.66	0.93828	0.93454	0.93082	0.92712	0.92345	0.91979	0.91616	0.91255	0.90895	0.90538
0.67	0.90183	0.89830	0.89478	0.89129	0.88782	0.88436	0.88092	0.87751	0.87411	0.87073
0.68	0.86737	0.86403	0.86070	0.85739	0.85410	0.85083	0.84758	0.84434	0.84112	0.83792
0.69	0.83473	0.83156	0.82841	0.82527	0.82215	0.81905	0.81596	0.81289	0.80983	0.80679
0.70	0.80376	0.80075	0.79776	0.79478	0.79182	0.78870	0.78594	0.78302	0.78011	0.77722
0.71	0.77435	0.77149	0.76864	0.76581	0.76300	0.76019	0.75741	0.75463	0.75187	0.74912
0.72	0.74639	0.74367	0.74097	0.73828	0.73560	0.73293	0.73028	0.72764	0.72502	0.72240
0.73	0.71980	0.71722	0.71464	0.71208	0.70953	0.70700	0.70447	0.70196	0.69946	0.69697
0.74	0.69449	0.69202	0.68957	0.68713	0.68470	0.68228	0.67988	0.67748	0.67510	0.67273
0.75	0.67037	0.66803	0.66569	0.66337	0.66105	0.65875	0.65646	0.65418	0.65191	0.64965
0.76	0.64740	0.64516	0.64294	0.64072	0.63851	0.63632	0.63413	0.63195	0.62979	0.62763
0.77	0.62549	0.62335	0.62122	0.61911	0.61700	0.61490	0.61281	0.61074	0.60867	0.60661
0.78	0.60457	0.60253	0.60050	0.59848	0.59647	0.59447	0.59248	0.59049	0.58852	0.58656
0.79	0.58460	0.58265	0.58072	0.57879	0.57687	0.57496	0.57305	0.57116	0.56927	0.56739
0.80	0.56553	0.56366	0.56181	0.55997	0.55813	0.55630	0.55448	0.55266	0.55086	0.54906
0.81	0.54727	0.54549	0.54371	0.54195	0.54019	0.53844	0.53669	0.53496	0.53323	0.53151
0.82	0.52979	0.52808	0.52638	0.52469	0.52300	0.52132	0.51965	0.51799	0.51634	0.51469
0.83	0.51305	0.51142	0.50970	0.50817	0.50656	0.50496	0.50336	0.50176	0.50018	0.49860
0.84	0.49703	0.49546	0.49390	0.49234	0.49090	0.48926	0.48772	0.48619	0.48467	0.48316
0.85	0.48165	0.48015	0.47865	0.47716	0.47567	0.47420	0.47272	0.47126	0.46980	0.46834
0.86	0.46690	0.46545	0.46402	0.46259	0.46116	0.45974	0.45833	0.45692	0.45552	0.45412
0.87	0.45273	0.45134	0.44996	0.44858	0.44721	0.44584	0.44448	0.44313	0.44178	0.44044
0.88	0.43910	0.43777	0.43644	0.43512	0.43380	0.43249	0.43118	0.42988	0.42858	0.42729
0.89	0.42600	0.42471	0.42344	0.42216	0.42089	0.41963	0.41837	0.41712	0.41587	0.41462
0.90	0.41338	0.41214	0.41091	0.40968	0.40846	0.40724	0.40602	0.40481	0.40360	0.40240
0.91	0.40121	0.40001	0.39882	0.39764	0.39646	0.39528	0.39411	0.39294	0.39177	0.39061
0.92	0.38946	0.38831	0.38716	0.38601	0.38487	0.38374	0.38260	0.38147	0.38035	0.37922
0.93	0.37810	0.37699	0.37588	0.37477	0.37366	0.37256	0.37146	0.37037	0.36928	0.36819
0.94	0.36711	0.36602	0.36494	0.36387	0.36280	0.36173	0.36066	0.35960	0.35854	0.35748
0.95	0.35643	0.35538	0.35433	0.35328	0.35224	0.35120	0.35016	0.34913	0.34809	0.34706
0.96	0.34604	0.34501	0.34399	0.34297	0.34195	0.34093	0.33992	0.33890	0.33789	0.33688
0.97	0.33588	0.33487	0.33387	0.33287	0.33186	0.33086	0.32987	0.32887	0.32787	0.32688
0.98	0.32588	0.32489	0.32389	0.32290	0.32191	0.32092	0.31992	0.31893	0.31794	0.31695
0.99	0.31595	0.31496	0.31396	0.31296	0.31196	0.31095	0.30994	0.30893	0.30792	0.30690
