# Stauffer table of invH (=1/H) in terms of S (wide, as in LaTeX)
# columns: S	0	1	2	3	4	5	6	7	8	9
S	0	1	2	3	4	5	6	7	8	9
0.30	7.09837	7.03966	6.98161	6.92421	6.86746	6.81135	6.75586	6.70099	6.64672	6.59306
0.31	6.53998	6.48748	6.43556	6.38421	6.33341	6.28317	6.23347	6.18431	6.13567	6.08756
0.32	6.03997	5.99288	5.94629	5.90019	5.85459	5.80946	5.76481	5.72063	5.67690	5.63364
0.33	5.59082	5.54845	5.50651	5.46501	5.42393	5.38327	5.34303	5.30320	5.26377	5.22474
0.34	5.18611	5.14786	5.11000	5.07252	5.03542	4.99868	4.96231	4.92629	4.89061	4.85527
0.35	4.82029	4.78564	4.75134	4.71737	4.68374	4.65043	4.61745	4.58479	4.55245	4.52042
0.36	4.48870	4.45729	4.42617	4.39536	4.36484	4.33461	4.30467	4.27501	4.24564	4.21654
0.37	4.18771	4.15916	4.13087	4.10285	4.07509	4.04759	4.02034	3.99334	3.96660	3.94010
0.38	3.91384	3.88786	3.86212	3.83661	3.81133	3.78627	3.76143	3.73682	3.71242	3.68824
0.39	3.66427	3.64051	3.61696	3.59362	3.57047	3.54752	3.52478	3.50223	3.47987	3.45770
0.40	3.43572	3.41393	3.39232	3.37089	3.34965	3.32858	3.30769	3.28698	3.26643	3.24606
0.41	3.22582	3.20576	3.18587	3.16614	3.14657	3.12717	3.10794	3.08886	3.06994	3.05118
0.42	3.03258	3.01413	2.99583	2.97769	2.95969	2.94184	2.92415	2.90659	2.88918	2.87192
0.43	2.85479	2.83781	2.82097	2.80426	2.78769	2.77125	2.75496	2.73880	2.72277	2.70687
0.44	2.69110	2.67545	2.65992	2.64452	2.62924	2.61408	2.59904	2.58412	2.56932	2.55463
0.45	2.54005	2.52559	2.51124	2.49700	2.48287	2.46885	2.45494	2.44114	2.42743	2.41384
0.46	2.40034	2.38695	2.37366	2.36047	2.34738	2.33439	2.32150	2.30870	2.29600	2.28339
0.47	2.27088	2.25846	2.24613	2.23390	2.22176	2.20970	2.19773	2.18586	2.17407	2.16236
0.48	2.15074	2.13921	2.12276	2.11640	2.10511	2.09391	2.08279	2.07175	2.06079	2.04991
0.49	2.03910	2.02838	2.01773	2.00715	1.99666	1.98623	1.97588	1.96561	1.95540	1.94527
0.50	1.93521	1.92522	1.91530	1.90545	1.89567	1.88596	1.87632	1.86674	1.85723	1.84778
0.51	1.83840	1.82909	1.81984	1.81065	1.80153	1.79247	1.78347	1.77453	1.76565	1.75683
0.52	1.74808	1.73938	1.73074	1.72216	1.71364	1.70517	1.69676	1.68841	1.68012	1.67188
0.53	1.66369	1.65556	1.64748	1.63946	1.63149	1.62357	1.61571	1.60790	1.60014	1.59242
0.54	1.58477	1.57716	1.56960	1.56209	1.55462	1.54721	1.53985	1.53253	1.52526	1.51804
0.55	1.51086	1.50373	1.49665	1.48961	1.48262	1.47567	1.46876	1.46190	1.45509	1.44831
0.56	1.44158	1.43489	1.42825	1.42164	1.41508	1.40856	1.40208	1.39564	1.38924	1.38288
0.57	1.37656	1.37028	1.36404	1.35784	1.35168	1.34555	1.33946	1.33341	1.32740	1.32142
0.58	1.31549	1.30958	1.30372	1.29788	1.29209	1.28633	1.28060	1.27491	1.26926	1.26364
0.59	1.25805	1.25250	1.24698	1.24149	1.23603	1.23061	1.22522	1.21987	1.21454	1.20925
0.60	1.20399	1.19875	1.19356	1.18839	1.18325	1.17814	1.17306	1.16801	1.16300	1.15801
0.61	1.15305	1.14812	1.14322	1.13834	1.13350	1.12868	1.12389	1.11913	1.11440	1.10969
0.62	1.10501	1.10036	1.09574	1.09114	1.08656	1.08202	1.07750	1.07300	1.06853	1.06409
0.63	1.05967	1.05528	1.05091	1.04657	1.04225	1.03796	1.03368	1.02944	1.02522	1.02102
0.64	1.01684	1.01269	1.00856	1.00446	1.00370	0.99631	0.99227	0.98826	0.98427	0.98029
0.65	0.97635	0.97242	0.96851	0.96463	0.96077	0.95692	0.95310	0.94930	0.94552	0.94176
0.66	0.93803	0.93431	0.93061	0.92693	0.92327	0.91964	0.91602	0.91242	0.90884	0.90528
